Mencione uma contraindicação absoluta para o uso de estrogénios.,História de doença tromboembólica ou cancro da mama conhecido/suspeito.
Mencione um efeito colateral endócrino do uso crónico de opioides em homens.,Diminuição dos níveis de testosterona e redução da libido.
Quais são as duas isoformas principais dos recetores de estrogénio ($ER$)?,$ER\alpha$ e $ER\beta$.
Mencione um agonista opioide utilizado exclusivamente para o tratamento da diarreia devido à sua baixa penetração no SNC.,Loperamida.
O fármaco ramelteon é um agonista de que tipo de recetores?,Recetores de melatonina $MT_1$ e $MT_2$.
"O que caracteriza a ""rotação de opioides"" na prática clínica?",Substituição de um opioide por outro para melhorar a analgesia devido à tolerância cruzada incompleta.
O fármaco meperidina está associado a que tipo de toxicidade em uso prolongado?,Neurotoxicidade (convulsões) devido ao metabolito normeperidina.
Qual a indicação da ocitocina no período pós-parto?,Prevenção ou tratamento da hemorragia pós-parto.
Qual a semivida ($t_{1/2}$) típica do metilfenidato?,Esta informação não consta nas fontes fornecidas sobre sedativos ou opioides.
Qual o mecanismo de ação do suvorexant no tratamento da insónia?,Antagonista dos recetores da orexina ($OX_1$ e $OX_2$).
Os recetores opioides pertencem a que superfamília de recetores celulares?,Recetores acoplados a proteínas $G$ ($GPCRs$).
Qual o componente progestativo comum no acetato de medroxiprogesterona ($MPA$)?,Derivado da $17\alpha$-acetoxiprogesterona (pregnano).
Qual a principal hormona secretada pelo corpo lúteo durante a segunda metade do ciclo menstrual?,Progesterona.
Como é que as benzodiazepinas alteram a cinética do canal de cloro ($Cl^-$) do recetor $GABA_A$?,Aumentam a frequência de abertura do canal na presença de $GABA$.
Qual a enzima do citocromo $P450$ responsável pela conversão da codeína em morfina?,$CYP2D6$.
Qual o efeito dos opioides no esfíncter de Oddi?,"Causa constrição do esfíncter, aumentando a pressão biliar."
Qual o efeito da ocitocina no útero durante o parto?,Aumenta a força e a frequência das contrações uterinas.
Qual o efeito das benzodiazepinas na respiração de doentes com Doença Pulmonar Obstrutiva Crónica (DPOC)?,Podem causar hipoventilação e hipoxemia ao diminuir o impulso hipóxico.
